,Record_text,InRelationship,General_comment_binary,General_comment,Specific_comment_binary,Specific_comment,Relevance
9777,نه بابا بیخودی ذهنت درگیر میشه،   سال دیگه وقتی با شوهر اون زمانت پیر و چروک شدی، میگی یعنی اگه با اون یارو که تو ناشناس خواستگاری کرده بود ازدواج کرده بودم تمام این سالها زندگی بهتری می داشتم؟  [CONFUSED_] ,-1,1,1,0,3,1
2766,من ادم رِند و پاک بازی نیستم و الان، توی این دوره به واسطه ی بستر سست و کثیفی که توش  دست وپا می زنم، شکننده تر از قبل ام. اون قدر اسیب پذیرام که هر نگاه چپی می تونه ماه ها داغونم کنه. قوی نیستم. اتفاقا الان ضعیف ترین صبای   سال گذشته م. من هنوز از اسیب دیدن شوکه می شم.,-1,0,3,0,3,0
10786,عزیزان همسر خانم گیلا ترور نشدن. ایشون گفتن تیراندازی در منطقه ایلی עלי محل عملیات امروز در نابلس که منجر به کشده شدن چهار اسراییلی شد. ایشان با خانواده های قربانیان همدردی کردند. پاینده اسراییل [] پاینده ایران [BLUE_],-1,0,3,0,3,0
3489,هژبر اقا هژبر. مرد تو یک سال تموم همکار من بودی ناسلامتی  [SMILING_FACE_WITH_],-1,0,3,0,3,0
8942,خدا قسمت کنه عید سال دیگه بیایی غر بزنی فامیل شوهرت تکراری شدن :))),-1,1,1,0,3,0
8057,رفیقم بهم زنگ زد میخوام برم قناری بخرم بیا کمکم سر قیمت داشت با فروشنده چونه میزد یهو برگشت گفت اقا شما قد پنجاه تومن این گندم مارو بمال طرف گف نمیصرفه رفیقم گف حاضرم گندمو با قناریه طاق بزنم و من ساکت منتظر بودم ببینم فروشنده قبول میکنه که برم تو قفسم یا نه,-1,0,3,0,3,0
10600,طناز کلاهچیان، همسر امیرسالار داودی و ایرین، دخترشان، جایزه لودویک تراریو را از جانب این وکیل ایرانی مدافع حقوق بشر دریافت کردند.,-1,0,3,0,3,0
12496,وای دوستم زنگ زده در حالی که از عصبانیت از گوشاش دود میاد بیرون میگه شوهرم کرم ضد چروک   پوندی من رو برداشته مالیده به پاشنه پاش چون پاش تَرَک داره و ترک و چروک هم یکیه دیگه!!!,-1,1,1,0,3,1
1677,مگه مرد تو خونه حق اظهارنظر یا تغییر دکور داره؟!,-1,1,2,0,3,1
10173,ارشد با بابای پسرک چندتا درس مشترک داشتیم، اصولا اصراری نداشتم به شوهر بچسبم و خیلی ها نمیدونستن ما زن و شوهریم. سر یک کلاسی خانمی از گرایش دیگه با ما بود گفت یک چیزی بگم ناراحت نمیشی؟گفتم نه،چی؟ گفت اون اقاهه که اون روبرو، اون وسط نشسته خیلی تو رو نگاه میکنه و گاهی میخنده.,1,1,2,1,2,1
12719,خانومه میگه: هر وقت خانواده شوهرم به مشکل اقتصادی میخورن، مستقیم بهم میگن «از طلا هات بفروش» (!!!) نکته ای که این خانم گفت اینه که همه ی طلاهاش مال دوران مجردی است و خانواده داماد، طلایی براش نخریدن! :) مشاور,-1,1,1,0,3,1
6610,خب منظورم همین بود، مدل دوستام اینجوریه، زن و  شوهر رمز گوشی همو میدونن اما دیگه داخل هم نیستن  [FACE_WITH_TEARS_OF_] ,-1,1,0,0,3,1
10190,شوهر شدم دوستان [FACE_HOLDING_BACK_][MELTING_],1,1,0,1,0,1
5601,به زنان سرزمینم؛ وقتی شوهرت با تیشرت و شلوار اسلش و کتونی یا دمپایی لاانگشتی میاد بیرون، تو کت یا مانتو مجلسی نپوش و کفش پاشنه بلندت رو پات نکن. کنارش شبیه مورینیو در حال گفتن اخرین توصیه ها به بازیکن تعویضیش میشی.,-1,1,1,0,3,1
1673,زید و دوست پسر و شوهر قبول نیست.  [UNAMUSED_],-1,1,2,0,3,0
8259,شما متاهلی؟ پس لطفا منتیون ندید به من  [BEAMING_FACE_WITH_SMILING_],-1,1,1,0,3,1
12600,کد دهی والاحضرت بانو یاسمین؛ همسر رضا شاه پهلوی با لباس سوگواری؛ در تشریفات واتیکان امده؛ برای جلسات پاپ، زنان باید لباس رسمی مشکی(عزا)، استین بلند برای پوشاندن شانه ها، چادر مشکی برای پوشاندن سر و قسمت دامن باید زیر زانو؛ باشد. پهلوی امید ملت ایران جاویدشاه,-1,0,3,0,3,0
2920,من عشق رو در نرسیدن میبینم انتظار عاشق قشنگه میگن وقتی که شوهر لیلی مرد همه رفتن پیش مجنون گفتن الان انتظارت به سر رسید الان میتونی لیلی رو مال خودت کنی و جوابی که میده جالبه میگه کدوم لیلی .. اون که خیلی وقته تموم شده لیلی خیلی وقته که با منه ولی وقتی میرسی تبدیل به علاقه میشه,-1,1,0,0,3,1
907,منم امروز سر بستنی با شوهر خالم قهر بودم [FACE_WITH_TEARS_OF_],-1,0,3,0,3,0
6000,شوفر بشم زنم میشی؟ تو عروس ننم میشی؟,0,1,2,0,3,0
4849,ببین تو نفرت اون زن من و تو یه جبهه ایم,-1,0,3,0,3,0
4209,تو دیگ  لب گوری احمق میگه اگ رسم باشه من با یکی برم زنم با یکی دیگه عدالت برقرار میشه,1,1,1,1,1,1
7907,اها خب اگه اینجوره زن هم یا شاغله یا کار خونه داره نمیتونه به شوهر و بچه توجه کنه,-1,1,1,0,3,1
4707,و بشنوید از عید دیدنی هامون شوهر دختر داییم برای دختر داییم میوه پوست کنده و دیزاین کرده(((؛,-1,1,0,0,3,1
1426,"نیاز دارم با یه نفر دوست شم،که هم دوستم باشه هم پارتنرم""؛)",0,1,2,0,3,0
1434,داشتم تو کوچه سیگار میکشیدم ب خیال خودم منفی بودم، تا این بچه رو دیدم اصن خودمو یادم رفت، مرد تویی ستون [RAISED_] ,-1,0,3,0,3,0
6358,با پسر که لاس نمی زنم میدونم دیگه  [BEAMING_FACE_WITH_SMILING_],-1,0,3,0,3,0
29,وقتی میخوای بگی چقدر خانومی و وقت شوهر کردنته [FULL_MOON_][FACE_WITH_TEARS_OF_],0,1,0,0,3,1
3001,این رفیقمون دم عقدش زنگ زده به شوهر دخترخاله ما گفته چقدر برای زنت دم عقد طلا گرفتی اینم گفته صد گرم:)) زنش میگه کو؟ کجاس؟ کی خریدی؟!:)) یعنی ادم رفیق مثل این داشته باشه بدبخته:)),-1,1,2,0,3,1
12776,زندگی مشترکم اگه قرار نباشه این شکلی باشه نمی خوامش ی شوهر ناز، اشپز و گوگولی ی گوربه ی سگ,0,1,1,0,3,0
8510,نه من که دوست دخترم دارم ولی   سالگی این کارو کردم=))),1,1,2,1,2,1
11363,توصیف زندگی متاهلی در   ثانیه [FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_],1,1,2,1,2,1
4897,شوهر کن بچه هم بیار,-1,1,2,0,3,0
11414,«به من گفت چطور درباره فیلمی به این لطافت { شکستن امواج } چنان تند و تیز نوشتین؟ اون صحنه ای که زن پس از هم اغوشی به همسرش می گه منو یاد رابطه خودمون انداخت. همسر من هم بعد از هم اغوشی از من تشکر می کنه. من و همسرم رابطه خیلی صمیمانه ای داریم، به طوری که من اونو…,1,1,0,1,0,1
8323,این خانوم زن منه [WOMAN_GETTING_MASSAGE_MEDIUM_DARK_SKIN_],1,1,2,1,2,1
2539,خانمم من اول تحقیق میکنم بعدا حرف میزنم [ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_],-1,0,3,0,3,0
4658,ایا می دانستید اگر پارتنر شما بیکار باشد و ورژن قدیمی اینستاگرام را نصب کند ، میتواند ببیند که کامنت میزارید,-1,1,1,0,3,1
8032,اصلاً مسافرت تنهایی با شوهر و فرزند . با تمام امکانات رفاهی . حتی دست یه ظرف یا چیز دیگه نخواهی بزنی . اخه بهش میگن مسافرت و تفریح,1,1,2,1,2,1
5060,همسر سابقم رو همراه همسرش دیدم، اگر چند ماه پیش بود سیل غم و خاطرات بد می اومد سراغم اما خوب که دقت کردم دیدم (در ظاهر) چقدر به هم میان (بر خلاف ما که اصلا به هم نمی اومدیم حتی به ظاهر)… براشون از ته دل ارزوی خوشحالی و خوشبختی کردم!,0,1,0,1,1,1
9582,این کوچیکیایه همون دخترس ک استوری میزاش مرسی همسرجان امروز برام سالاد شیرازی درست کردی [FACE_WITH_TEARS_OF_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_],-1,1,2,0,3,1
7053,بله خانم من هنوز به یاد شمام. [REVOLVING_],-1,0,3,0,3,0
9714,من یه شوهر ورزشکار میخوام [PENSIVE_],0,1,2,0,3,0
10887,بخدا اصلا نمیفهمم چطوری دونفری توی یه بشقاب غذا میخورین منو شوهرم یه بار این کار رو کردیم سر گوشتا دعوامون شد [SLIGHTLY_FROWNING_][NEUTRAL_],1,1,1,1,1,1
9354,میمان! خیلی از اونهایی که به نفوذ چین و روسیه اعتراض کردن هم الان از این خفتی که شوهرت تن داد بهش ناراحت ان! گوشت تلخ نچسب. به جای سفسطه بگو شوهرم نفهمی کرد. ببخشید!,-1,1,1,0,3,1
12652,( / ) پس از هرودوت، مورخان دیگر نیز از ایران و خلیج جنوبی ان به نام «پرس» و «پارس» یاد می کنند. کنزیاس، پزشک دربار داریوش دوم و اردشیر دوم و طبیب معالج پروشات (همسر داریوش) که مدت هفده سال در ایران اقامت داشت در کتاب خود به نام «پرسیکا» خلیج فارس را به همین نام ذکر می نماید.,-1,0,3,0,3,0
4913, [FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][MAN_] بخدا گوشی خانم منو تو اتوبوس دزدیدن از جیبش به هرکی تو ایران میگفتم باورش نمی شد ، میگفتن مگه اونجا هم دزد داره [MAN_] ,1,1,2,1,2,1
10604,از دیدن مریض بدون هیییییچ مشکلی خسته شدم.مگه اینجاپارکه اخه کل خانواده زن و شوهر وهمه ی بچه هاومادر زن ومادرشوهر ودایی وعمه وخاله وهر فامیلی ک دارن یهو میان الکی اینجا میگن فشار تک تک مارو بگیر،چک اپ بنویس،چک کن،بعد حتما سوزن به تک تکمون بده. متاسفانه امپول کسخلی هنوز اختراع نشده,-1,0,3,0,3,0
309,اصلا حالت خوشی ندارم. تقریبا همیشه یک سردرد جزیی دارم و گاهی هم قلبم درد میکنه، شبا تا خود صبح بیدارم و روزا هم نمیخوابم، چرت میزنم، حاضر بودم به جای یکی از اخوندایی که این چند روز مرد بمیرم و راحت بشم.,-1,0,3,0,3,0
5549,خبری هست یا نه؟ الان دیگه نوبت سهند ایشالاه سال دیگه با زنت بیای حاملم…,-1,1,2,0,3,1
3726,چنین مردا لیاقت همسر وخانواده را ندارند خب از اول تشکیل خانواده ندن زن  و بچه برده نیست با روح روان ادم بازی می کنند  [CRYING_][BROKEN_][CRYING_],-1,1,1,0,3,1
1741,فک کنم فقط من سیمپ نکردم که تا بازار سیمپ داغه دوست دارم زنم بشی,0,1,2,0,3,0
8249,با این حال که از سرکار رفتن هم غر زیاد می زنم اما از این تعطیلی دیگه خسته شدم. کییییییییر.,-1,0,3,0,3,0
564,: چرا سینگلم پارت ام : بین  درصد دنبال پارتنر میگردم,0,0,3,0,3,0
2520,یعنی همسر ایندم داره الان با کدوم خرابی لاس میزنه؟ [PLEADING_]سلیطه خانوم بکش کنار اون شوهر منههه[UNAMUSED_],0,1,1,0,3,0
51, . خانم نگار جواهریان همسر رامبد جوانِ درسته؟ خب اینا اگر اشتباه نکنم پارسال یا سال قبل ترش بود که باردار بود و برای اینکه بچش اقامت کانادا رو داشته باشه رفتن بچشونو کانادا به دنیا اوردن…! حالا اینم به من ربط نداره ، ولی نکتش اینجاست…!,-1,1,2,0,3,0
9003,ما باید تو رو شوهر بدیم واجب تره,-1,1,2,0,3,0
8053,نه همسر البته هیچ کی رو,1,1,2,1,2,1
10859,چرا بعد از اینکه همسر اقای رییسی مصاحبه کرد اصلاح طلبها دارن با خانمهاشون عکس میگیرن و میذارن توییتر؟ یعنی میخان بگن ما هم زن داریم؟ [FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_],-1,0,3,0,3,0
8296,رقص زن برای خودش هم حرامه، نباید تو اینه نگاه کنی برقصی. فقط شوهررررر,1,1,0,1,0,1
12797,صبح داشتم قدم زنان میرفتم نون بخرم، یهو از پشتم صدای بوقِ انتظارِ تلفن اومد.انگار یکی شماره گرفته و منتظره طرف برداره(روی اسپیکر بود)یهو صدای یه خانوم اومد که به فارسی گفت؛«الو سلام» تا چشمام گرد شد که اِ ایرانیه؛صدایِ شوهرِ همسایه مون اومد که؛«سلام.الان از خونه زدم بیرون.» تنها,-1,1,2,0,3,1
12528,همسر کارگرم بهش گفته: باید ماهی   میلیون بدی من خرج استایلم کنم:))نیم ساعته پشت تلفن عربده میکشید که ندارم:(((( تحمل این شرایط خیلی واسه پسرا سختر از دختراس:)) واقعا درک کردن مردا توی این وضعیت سخته؟؟,-1,1,1,0,3,1
10492,دخترا/پسرا وقتی تو رابطه اید میزارید پارتنرتون با کسی حرف بزنه؟,-1,0,3,0,3,0
10480,همسر اقای رییسی گفته مردم ایران خندشون میگیره وقتی تلاش های امریکایی رو میبینن که سنش از درخت های دانشگاه شهید بهشتی که توش تدریس میکنم کمتره [FACE_WITH_TEARS_OF_][ONCOMING_] خبرها حاکی از اینه فشاری که این حرف روی براندازها و غرب پرستا اورده با هیچ دستگاهی قابل سنجش نیست[FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_],-1,0,3,0,3,0
12152,الان اگه شوهر داشتم یه پیج بهاراستایل میزدم تبلیغ میگرفتم پولدار میشدم [PENSIVE_][PENSIVE_][PENSIVE_],0,0,3,0,3,0
6985,: بابات حشری شد یا شوهرت؟,-1,1,2,0,3,1
7790,دختره گفت اقا دستتو بزار اینجا تا واکسنو بزنم منم بدون نیتی دستمو گذاشتم رو پاش. خودشم خندش گرفت گفت اقا اینجا نه,-1,0,3,0,3,0
2784,یه کلیپ جدید از سک..س با خانم تپل متاهل که لباس خواب پوشیده برای دوست پسرش دوربین هم گذاشته از سک..سشون فیلم بگیره برای شوهرش که چجوری داره ک..ص میده [DROOLING_][] با چه شدتی تلمبه میزنه به ک..صش که صدای تلمبه هاش میاد اول سواری میده بعد بر میگیرده از پشت میده[SMILING_FACE_WITH_][],-1,0,3,0,3,0
1815,تمام دلایل رو امیر گفت، یه پروژه باید فعالی داشته باشه صرفا بگه که دلیل به خوب بودن نمیشه. پارتنر هایی که با پروژه همکاری میکنه مهم است. پروژه های روی باید ببینی جامعه واقعا حمایت میکنن یا نه باید به نقشه راه پروژه دقت بشه.,-1,0,3,0,3,0
12664,بله؛ متاهلی که میره تو رابطه.,-1,1,1,0,3,1
6966,فیلم دوستم مرتضی پیشنهاد داد این فیلمو  ببینم با نقش انا همزادپنداری کردم. فکر کنم اخرش یه شوهر مجدد بکنم همه دوست های اقایی که دارم بکشه. با من دوست نشین دیگه.,-1,0,3,0,3,0
4782,از شوهرت اجازه گرفتی عکس جذاب گذاشتی اواتار [EXPRESSIONLESS_][FACE_WITH_TEARS_OF_],-1,1,1,0,3,1
10112,انقد رو پرو پاچه شوهر من زوم نکنید مگه خودتون ناموس ندارید,1,1,0,1,0,1
200,نظری در مورد پرچم جمهوری اسلامی توسط همسر رضا پهلوی یاسمین(که عکسشم رو پروفایلشه) در روز   بهمن نداره؟ نه بازی تیم ملی بود نه جام جهانی صعود قطعی شده بود و فقط   بهمن بود!! تو اون کلیپ یک پرچم شیرخورشیدم نبود جدی بیا و نظرت راجع به اون بگو منتظرم,-1,0,3,0,3,0
4411,اینا احترامُ شوهر دادن سفره هفت سین گرفتن از روباه صفتی اینهاست وگرنه تو عمل نشون دادن که دشمن ایران و هر اداب و رسوم ایرانی هستند.,-1,0,3,0,3,0
6412,ناموصا من شوهرت میشم میخوای ؟!تا اخر عمر شوهرتم,0,1,0,0,3,0
9769,یه سلامی  هم داشته باشیم به اون بی شرفایی که این روزا پای سیستم دارن با تلاش شبانه روزی برای گـ.اییدن اینترنت و از کار انداختن فیلترشکن ها سهم خودشون از عنقلاب نسبت به پاره کردن کـ.ون خـلق رو ادا میکنن، سلام جاکش! امیدوارم اونجای زنت فیلتر  بشه نتونی بکـ.نیش. گاف,-1,0,3,0,3,0
13169,«رفتم قم، دختر  ساله را که به مردی   ساله داده بودند، تمام بدن این دختر پشت و جلوش یکی شده بود و زخمی بود.دختر را بردم بیمارستان،سعی کردم   ساعته، ان مرد را از او جدا کنیم. مرد می گفت زن من است، می خواست برگردد و با ان حالت باز با او بخوابد.او را مدتی زندان کردند،تا این دختر…,-1,1,1,0,3,1
9906,نخیر شوهر و دوس پسر با کات و طلاق جدا میشن ولی هیونگم بود تا ابد بود,-1,1,1,0,3,1
5804,ده سال زنم بود حق طلاق با من بود با همه مشکلات طلاقش ندادم یه هفت حق طلاق بهش دادم گفت طلاق میخوام همه چیزمم دادم ببره دست خالی نره همه رو تو   سالگی باید از صفر شروع کنم,0,1,1,1,1,1
4650,من خودم شوهر چند نفرم,1,1,2,1,2,1
8288,تازه کجاشو دیدی میدونستی مردا قبل متاهلی خیلی ادمای باحال ترین؟,-1,1,1,0,3,1
1760,اخه ژوانا هم شد اسم تازه به دنیا اومد سوتی دادم ژوپیتر فکر کرد مسخرشون کردم مهمونی تلخ شد خانمم ناراحت شد چرا نوه عمه خانم را مسخریدم  [SLIGHTLY_SMILING_][SLIGHTLY_SMILING_][SLIGHTLY_SMILING_],1,1,1,1,1,1
2671,[FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_]  به جرات می توانیم پول دوست تربن خل و چل تربن ایرانی که تا حالا دیدیم همسر اول شما از خانواده اصیل ایرانی بود و حتی پدرش مخالف بودن شما داماد خانواده باشید ولی این مهشید شما هم پایین برده اسطوره هنرمندان ایران بانو هایده حمیرا رامش احمد ازاد خدای میهن پرستی فرخزاد,-1,1,1,0,3,1
991,تا اون موقع دوتا شوهر کردم,0,0,3,0,3,0
1275,اگ پارتنرم در اینده اینقد احمق باشه چی,0,1,1,0,3,0
211,من جدی چندتا از دوستام تو پروسه طلاقن. مرحله شوهر و بچه رو خیلی وقته دیگه انلاک کردن.,-1,1,1,0,3,1
4802,اااااای اونایی که هیکل شوهرتون براتون مهم و دنبال سیکس پک و ایناییید، حداقل   درصدتون شوهر با این هیکلا گیرتون میاد، تقلا نکنید [FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][ROLLING_ON_THE_FLOOR_] ,-1,1,1,0,3,1
2304,نفقه ای که تو میگی تو ازدواج اسلامیه من به اون کصشر کاری ندارم من برابریو میگم اسمش زندگی مشترکه پس همچیش باید مشترک باشه چه خرجا چه کارا مسیولیتا هم برابره قرار نیس مرد فقط کار کنه زن فقط بخوره زنی که میگه من دلم بخواد کار میکنم پس نمیتونه از شوهرش انتظار کار کردن داشته باشه,-1,1,2,0,3,1
2114,تازه یک سری جاها دعوت شدم خودم خبر ندارم یعنی از روزی که اومدیم مامانم برنامه نوشته گذاشته جلوم که کجاها دعوت شدیم و از قبل هم گفتند دخترت میاد اصفهان حتما باید باشه دخترش رو ما ببینیم بنابراین ما هم دعوت شدیم بدون اینکه نظر من و همسرم رو بدونه با بپرسه [FACE_WITH_TEARS_OF_],1,1,2,1,2,1
