,Record_text,InRelationship,General_comment_binary,General_comment,Specific_comment_binary,Specific_comment,Relevance
14,این خانوم زن منه [WOMAN_GETTING_MASSAGE_MEDIUM_DARK_SKIN_],1,1,2,1,2,1
15,اصلاً مسافرت تنهایی با شوهر و فرزند . با تمام امکانات رفاهی . حتی دست یه ظرف یا چیز دیگه نخواهی بزنی . اخه بهش میگن مسافرت و تفریح,1,1,2,1,2,1
16,همسر سابقم رو همراه همسرش دیدم، اگر چند ماه پیش بود سیل غم و خاطرات بد می اومد سراغم اما خوب که دقت کردم دیدم (در ظاهر) چقدر به هم میان (بر خلاف ما که اصلا به هم نمی اومدیم حتی به ظاهر)… براشون از ته دل ارزوی خوشحالی و خوشبختی کردم!,0,1,0,1,1,1
17,بخدا اصلا نمیفهمم چطوری دونفری توی یه بشقاب غذا میخورین منو شوهرم یه بار این کار رو کردیم سر گوشتا دعوامون شد [SLIGHTLY_FROWNING_][NEUTRAL_],1,1,1,1,1,1
18, [FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][MAN_] بخدا گوشی خانم منو تو اتوبوس دزدیدن از جیبش به هرکی تو ایران میگفتم باورش نمی شد ، میگفتن مگه اونجا هم دزد داره [MAN_] ,1,1,2,1,2,1
19,نه همسر البته هیچ کی رو,1,1,2,1,2,1
20,رقص زن برای خودش هم حرامه، نباید تو اینه نگاه کنی برقصی. فقط شوهررررر,1,1,0,1,0,1
21,انقد رو پرو پاچه شوهر من زوم نکنید مگه خودتون ناموس ندارید,1,1,0,1,0,1
22,ده سال زنم بود حق طلاق با من بود با همه مشکلات طلاقش ندادم یه هفت حق طلاق بهش دادم گفت طلاق میخوام همه چیزمم دادم ببره دست خالی نره همه رو تو   سالگی باید از صفر شروع کنم,0,1,1,1,1,1
23,من خودم شوهر چند نفرم,1,1,2,1,2,1
24,اخه ژوانا هم شد اسم تازه به دنیا اومد سوتی دادم ژوپیتر فکر کرد مسخرشون کردم مهمونی تلخ شد خانمم ناراحت شد چرا نوه عمه خانم را مسخریدم  [SLIGHTLY_SMILING_][SLIGHTLY_SMILING_][SLIGHTLY_SMILING_],1,1,1,1,1,1
25,تازه یک سری جاها دعوت شدم خودم خبر ندارم یعنی از روزی که اومدیم مامانم برنامه نوشته گذاشته جلوم که کجاها دعوت شدیم و از قبل هم گفتند دخترت میاد اصفهان حتما باید باشه دخترش رو ما ببینیم بنابراین ما هم دعوت شدیم بدون اینکه نظر من و همسرم رو بدونه با بپرسه [FACE_WITH_TEARS_OF_],1,1,2,1,2,1
26,شاید اگه من اخلاقام و رفتارام تو خونه رو تعریف کنم، همه تون بگید بیچاره همسرش. اگرم از کارای شوهرم بگم، خیلیا بیان بگن چجوری تحمل میکنی این کاراشو؟؟ ولی حقیقت اینه که ما دو تا واسه هم مناسبیم. نه واسه بقیه. اینقدر اینجا نظرسنجی نکنین و نظر خودتونو به سمع و نظر بقیه [SLIGHTLY_SMILING_] نرسونین,1,1,0,1,0,1
27,سلام شوهرم ماموریته یکی بیاد پیشم باهم نهار بخوریم رییس بازی در بیاره برام,1,1,2,1,2,1
28,تو خودت زن منی لاشیه ظریف,1,1,0,1,0,1
29,واقعا دنیا کوچیکه، تو هواپیما اکس   سال پیشت با شوهر و بچش، صندلی کنار.,0,1,1,1,1,1
30,دیشب موقع پخش برنامه همسرم گفتن اقای رسولی انگار شهید زنده هستن و داره به شهادت نزدیک و نزدیکتر میشه چقدر بی ریا و خوب هستن خدا حفطشون کنه,1,1,2,1,2,1
31,این گوزوام گفت اره یکی علی دایی به درد بخوره یکی شوهر خودت. الدنگ به شوهرم حرف زد [FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_],1,1,0,1,0,1
32,دوس دارم غلت بزنم و شوهرم جراحمو ببینم:),1,1,0,1,0,1
33,خیلی همسر خوبی دارم. خدا حفظش کنه [PALMS_UP_],1,1,0,1,0,1
34,ن خب اردویی بود از طرف اتحادیه انجمن مستقل ، تنها ک ن .. ولی خب حرم هارو تنهایی میرفتم هرروز دوساعت اذان ظهر دوساعت اذان مغرب :)) خب این خوبه .. بعد تازه حب همسرم میاره ، دلتنگ میشی  [FACE_WITH_TEARS_OF_] ,1,1,0,1,0,1
35,فقط همسر دربه در من باید بعداز حبس (ابان  ) و قاچاقی خارج شدن، الان باید نزدیک   سال تو ترکیه اواره باشه و نه راه پس داشته باشه و نه راه پیش  [PENSIVE_] ,1,1,1,1,1,1
36,واقعا این دیگه همسر ازاریه,1,1,1,1,1,1
37,انقدر که همسرم تو تعطیلات میگه ناهار و شام چی داریم ؟، تا اخر تعطیلات رییسی صداش میکنم .  [CONFUSED_] ,1,1,1,1,1,1
38,پارتنرم؟! در ضمن این فقط یه شوخی بود؛اونایی که منو میشناسن اینو خوب میدونن [CONFUSED_],1,1,2,1,2,1
39,ما امسال قصد داشتیم به شمال بریم چون تا حالانه خودم نه خانمم نرفتیم با حقوق کارگری هرماه مبلغی پس انداز کردیم اما قبل از تعطیلات عید فهمیدم که پسرهمسایه نه پول عروسی داره نه ماه عسل به توصیه همسرم پول مسافرت رو به زوج جوان دادیم و عید رو ازمنزل براتون توییت میزنم سخته اما شیرین,1,1,2,1,2,1
40,دوّم فروردین نود و دو اغاز شدیم نُه سال پا به پای هم دویدیم حالا اینجاییم دوّم فروردین چهارصد و یک در کنار هم . . . . . عشق سالگردازدواجمون مبارک سالگرد ازدواج همسر عاشقانه برلین,1,1,0,1,0,1
41,"پارتنر ""خوب""! سه تا خط زیر خوب باید کشید، برای تاکید بیشتر. پارتنر بد میتونه برینه تو همه چیز عملا:)))",-1,1,1,1,1,1
42,نه چون طرف فک میکنه پارتنرم گیه مهرسا +میم (مهرسام),1,1,2,1,2,1
43,و اینک پایان این روز رو که نقش یک زن تنهای خانه دار رو بازی کردم و برای شوهرم غذا پختم و اون منو ول کرد و رفت که با رفقاش سیگار بکشه و غذا بخوره اعلام میکنم. موندم که فردا نقش دانشجوی فلک زده ای که توی عیدم باید بشینه تند تند کار کنه رو بازی کنم یا زن جوان بیخیال و خوش گذرون رو؟,1,1,1,1,1,1
44,: من دوس دارم شوهرم راضی بشه دوستاموبیارم خونه وباهم باشیم سه تایی… [SMILING_FACE_WITH_][SMILING_],1,1,2,1,2,1
45,اینجا تو افتاب نشستم یه حال خوبی حیف دقیقه ای یه بار میاد درو باز میکنه میگه مهراوه داری چکار میکنی مهراوه چرا دستشویی میری مهراوه چرا اونجا وایسادی [WOMAN_] پ.ن مادر شوهرم,1,1,2,1,2,1
46,زیدی میگه امروز که رفته بودی مصاحبه، من کنار جدول نشسته بودم، سیگار می کشیدم و منتظرت بودم. بعد یه z  اومد پارک کنه و منم بلند شدم. اومد پایین، ازم عذرخواهی کرد و گفت من سینگلم و منم گفتم منتظر دوست پسرم هست. واقعاً پارتنر تراز. وگرنه خودم ماشین رو دیدم، بهش گفتم لگد به بختت زدی.,1,1,0,1,0,1
47,این قاعده برای پارتنرم قابل اجراست دیگه؟!,1,1,2,1,2,1
48,زنم کجااااایی دلم برات تنگ شده خیلی وقته نیستی,1,1,0,1,0,1
49,وقتی زنت (یا دوستت یا خواهرت )تازه کلاس نقاشی رفته و مجبوری خودت هنر هاشو بزنی به دیوار خونه چون کسی نمیخرش دیگه و چاره ای نداره  [FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_],1,1,1,1,1,1
50,به همسرم میگم حالم یه طوری هست برم یه گوشه بشینم گریه کنم. توضیح نمیدم چرا . یهو میگه منم همینطور. تعجب می کنم از و برام کلی حرف میزنه از حالش.,-1,1,1,1,1,1
51,افتاب داره جلو شوهرم جرم میده,1,1,2,1,2,1
52,همسر و مادر بودن شغل محسوب میشه؟,1,1,2,1,2,1
53,خیلی مخصوصا در خانواده شوهر [ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_],1,1,2,1,2,1
54,خوشبحالتون که خوشتون میاد همسرتون بند کفشتون رو ببنده و ذوق می کنید من سر اینکه چندبار نذاشته پلاستیک خریدا رو خودم بیارم بالا باهاش قهر کردم. یه بار سر روندن کالسکه بچه دعوا کردیم کلا این کمکایی که بهم این حس رو میده که اون زورش از من بیشتره جایی که خودم زورم می رسه رو ندوست.,1,1,1,1,1,1
55,: چویی مینهو خودِ شوهره خاک تو سرم که اینقد شوهره [LOUDLY_CRYING_] اصلا برین کنار شوهر جذاب خودمه[FACE_WITH_TEARS_OF_][LOUDLY_CRYING_],1,1,0,1,0,1
56,دوست پسر من دو سال از من کوچیکتره و انقدر باشعوره که تو این دوسال تا حالا یکبار سنش به چشمم نیومده,1,1,0,1,0,1
57,باز تو یه ماشین رو بری کارواش، من ماشین خودم و خانمم رو برم کارواش پریروز :),1,1,2,1,2,1
58,این استرس عید دیدنی خانواده دوست پسر منو کشت، از اینجا به بعد حس میکنم دیگه عید تمومه و رسالتم به اتمام رسید :)),1,1,1,1,1,1
59,هیچ بالشتی جای اغوش هیچ همسری را هیچ وقت نخواهد گرفت!,1,1,0,1,0,1
60,بچه ها زیدم طناز، طناز بچه ها باهاش میرم عروسی عشق میکنیم تبریک بگید حسود نباشید [] با تشکر از,1,1,0,1,0,1
61,ولی من شهردار بشم زنم رو با کلت تو حموم میزنم، کلا ما نجفیا اینجوری ایم :))),1,1,1,1,1,1
62,از دوست دخترم یه پاکت گرفتم فکرکردن دوره باز کردم دیدم ادرس ساعت داخلشه گفتش منتظرتم,1,1,0,1,0,1
63,کُمدی دیروز این بود نیما شد دوست پسرم زینت هم مادر داماد [FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_],1,1,0,1,0,1
64,برای من همه چی از اردیبهشت شروع میشه میخوام  / / رل بزنم و  / /  هم ازدواج میکنم باهاش یوهاهاها,1,1,0,1,0,1
65,فکر کردم منطورش از اونجا چیز دیگه ایه :))) بعدم میگه ولی شوهرم اصلا متوجه نیست . بعد دیدم نه واقعا منظورش مکان بود :))))),1,1,1,1,1,1
66,رو زن من چت نباش عععع دورو زمونه عوض شده بمولا بددوو برو خونتون,1,1,1,1,1,1
67,خانمهای محترم، اگر میخواهید دهن شوهرتون را سرویس کنید و خیالتون از هر نوع شیطنت احتمالی در محل کار راحت باشه، شب بهش سیر بدید و یه شام نفخ دار. جنس مخالف که هیچ، جنس موافق هم نزدیکش نمیشه از بوی بد دهان و گوز های مکرر. دیدم که میگم  [ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_] ,1,1,1,1,1,1
68,امسال سال پر برکتیه خداروشکر اول ننم کلی برام وسیله خرید بعد بابام واسم هدست گیمینگ خرید بعد بابای دوست دخترم پونصد زد به کارتم بعد اصلا یه وضعیت خوبیه میدونی [FACE_WITH_TEARS_OF_],1,1,0,1,0,1
69,دلم برای تهران پیاده روی تو بلوار کشاورز تنگ شده،یه روزهایی با همسرم که البته اون موقع دوستم بود از بنیاد نیشابور تا میدون رو همیشه پیاده می رفتیم .,1,1,0,1,0,1
70,"حتی این جمله مزخرف که""عشق اول یه چیز دیگست"" [NEUTRAL_] اولین دوست پسرم باباش سپاهی بود و خودشم ازین عشق رایفی پورها هروقت یادم میوفته دوس دارم خودمو بکشم از خجالت شما هم به روم نیارید بیشتر خجالت نکشم[NEUTRAL_][BEAMING_FACE_WITH_SMILING_] ",0,1,1,1,1,1
71,بحث تنهایی سفر رفتن نیستا ولی اگر پارتنر من این کارو کرده بود که بی خبر بره، وقتی برمیگشت حسابش با کرام الکاتبین بود :) تو خیلی ماهی اصلا بابا,1,1,1,1,2,1
72,: پارتنرم : روز افتضاحی داشتم و هیچ چیز نمیتونه حالم بهتر کنه من :,1,1,1,1,1,1
73,واای یاد یه چیزی افتادم [FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_] تو ماشین بودیم به دوست پسرم گفتم اون دختره رو نگا چه خوشگله یه میلی هم سرش تکون نخورد و گفت خب که چی باشه هم برای خودش خوشگله گفتم ایول امتحانو قبول شدی[THUMBS_] بعدش یکم رفتیم جلو گفت اوه پسره چه اندامی داره و من برگشتم نگا کردم ایناس که بده[PENSIVE_][FACE_WITH_TEARS_OF_],1,1,2,1,2,1
74, ) یکی از خواص تو که نامش را نمیدانم شبها به خانه من می اید و به زور ، زن من را مورد ازار و اذیت و تجاوز قرار میدهد. شاه گفت : هرگاه امد ، مرا خبر کن و ان مرد را به نگهبان قصر معرفی کرد و گفت : هر زمان این مرد ، مرا خواست به من برسانیدش حتی اگر در نماز باشم. شب بعد ؛,1,1,2,1,2,1
75,دیگه ببین به امام حسین ع ، قربون شون برم ، فیوز & ترموستات & موتووووووووور و مغزم سوووووووووووووووووخت انقد حرف شنیدم از شنبه تا الان تو خونه ی مادر شوهر [EXPRESSIONLESS_][FEARFUL_][FACE_SCREAMING_IN_][EXPLODING_][EXPLODING_][EXPLODING_][EXPLODING_][][FACE_WITHOUT_][GRINNING_FACE_WITH_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_][ROLLING_ON_THE_FLOOR_] اللان حکم جانبازهای   % دارم[THINKING_][VICTORY_][NERD_] ,1,1,2,1,2,1
76,دیگه به کرونا فکر نمیکردم و منتظر برداشته شدن باقی محدودیت ها بودم که علایم یکی یکی پدیدار شدن و تستم مثبت شد. هفت روز زندانی بودم و روی تخت زندگی کردم. از پارتنرم، گروه انلاین دوستام و سریال بروکلین ناین-ناین برای سرگرم کردنم مچکرم. تستم امروز منفی شد.,1,1,0,1,0,1
77,: پارتنر ادم باید یجوری خوب باشه که کنارتم نشسته باشه دلت واسش تنگ باشه..,1,1,0,1,0,1
78,عکسایی که دوست پسرم میگیره [][MELTING_],1,1,2,1,2,1
79,من به شخصه ادم خانواده دوستی هستم اگر بعضی از هیتر ها نگن سیمپم، با کمال میل برای همسرم و خانوم خونه م انجام میدم [UPSIDE_DOWN_] ,1,1,0,1,0,1
80,: اینقدر بدم میاد از این اخلاق همسرم وقتی میگم پنج دقیقه دیگه میام، هی نیم ساعت به نیم ساعت می پرسه حاضر شدی؟,1,1,1,1,1,1
81,همسر دیگه,1,1,2,1,2,1
82,راجر شوهر ماست چرا ندونم [PENSIVE_][OK_HAND_MEDIUM_LIGHT_SKIN_],1,1,2,1,2,1
83,  سال پیش به خاطر انفلوانزا و عفونت گلو، پزشک به همسرم، کو اموکسی کلاو داد، فقط دو روز خورد، یک ماه تمام معده درد شدید داشت، یک روز تو مسیر محل کار دیگه از درد جیغ میکشید که بردمش بیمارستان,1,1,2,1,2,1
84,خاک بر سرم اصلا فکرشم زشته البته اگر شوهرم اجازه بدن میتونم برینم در اون صورت مستحبم هست,1,1,1,1,1,1
85,جون چه پسر شوهری [BEAMING_FACE_WITH_SMILING_],1,1,0,1,0,1
86,و دوست دختر من,1,1,2,1,2,1
87,من و همسرم ازادی خواهیم و خواهان برقراری دموکراسی لیبرال. با فرقه مجاهدین خلق ارتباطی نداریم و به غیر از مخالفت با ایدیولوژی اسلامگرا/کمونیستی این گروه، همونطور که در کنار اسمش اوردم این گروه رو یک فرقه می دونیم./,1,1,2,1,2,1
88,همکار شما با همسر سابقم دست ب یکی کرد و سر منو کلاه گذاشت. چون ایران نبودم کلاهبرداری حساب نمیشه. اینم از قانون ایران. گندش بزنن.,-1,1,1,1,1,1
89,دوست پسر منم بهم میگه جوجه [SLIGHTLY_SMILING_] همین که   سال کوچیکتره,1,1,0,1,0,1
90,خیلی سال پیش نامزد رسمی داشتم.از خونه ما تا محله کارم  دقیقه راه بود.موقعی که راه می افتادم نامزدم پشت سر هم شروع می کرد به زنگ زدن.تا مطمین نمیشد که سالم رسیدم بی خیال نمیشد.منم میدیدم زیاد زنگ میزنه دعواش میکردم که چرا این همه زنگ میزنی.بچه بودم و نادان. ساله جدا شدیم.,0,1,1,1,1,1
91,توی محل کار شوهرم ازش پرسیدن عکس از هفت سینتون داری نشون بدی؟ اونم گفته ندارم. گفتم چرا نشون ندادی؟ گفت مال ما زشت بود فردا میرم مال خواهرتو نشون میدم میگم مال ماست. [WOMAN_WALKING_MEDIUM_DARK_SKIN_][WOMAN_WALKING_MEDIUM_DARK_SKIN_],1,1,1,1,1,1
92,و مرا برای کار اجباری به معدن فرستاد، سالهای سال از دختر و همسرم بهره برداری کرد و انها را به عنوان خدمتکار فروخت و الان از سرنوشت انها اطلاعی ندارم، اکنون از کار معدن رها شده ام، شنیده ام ان شخص مرده است و برای همین امده ام ببینم خدایان روی قبر او چه نوشته اند/ ,1,1,1,1,1,1
93,امروز از صبح مادر شوهر حال ندارن ، این مرد رنگ به رو نداره همش میگه اگه مامانم طوریش بشه چکار کنم! دارم فکر میکنم اگه طوریش بشه این مرد زودتر نابود میشه,1,1,1,1,1,1
94,پنج تومن پدر شوهرم دادن چون نوه اول خانواده رو در راه دارم [GRINNING_FACE_WITH_],1,1,0,1,0,1
95,به همسرم میگم امشب سالگرد عقدمونه، نظرت چیه منو سوپرایز کنی! بعد چند دیقه سکوت میگه این داستانا از ما گذشته:( سکوت عاشقانه تویی…,1,1,1,1,1,1
96,خواب دیدم با شوهرم و دوستام نشسته بودیم تو حیاط قلعه مون چای انگلیسی مینوشیدیم که یهو از اسمون کتاب بارید بعدش دندونم شکست و عفونت کرد و بعدم با قطار رفتم پیش زهرا که سیگار بکشیم.,1,1,2,1,2,1
97,دوست دختر من لیاقت نداشت الان باید میومد منو جمع می کرد,0,1,1,0,1,1
98,دوست دخترم تو اتاق عمله نگران شدم و زنگ زدم مامانش جواب داد:) صدامو دخترونه کردم و حالشو پرسیدم بعد از کمی مکس بین جوابا و سنگین شدن حرفاش(لو رفتم) گوشیو داد به اون یکی دخترش ادامشو اون حرف زد خلاصه که عزیزم اگه این توییتو میبینی از اتاق عمل نیا بیرون که دهنت سرویسه,1,1,2,1,2,1
99,کدوم یکی فکت؟ اینکه زیدم جذاب ترین پسر روی پشت بومه؟,1,1,0,1,0,1
100,دخترم هی لفتش میداد حاضر شه و من مثل گندم رو اتیش بالا و پایین میپریدم. همسرم منو بغل کرده میگه ولش کن، گور باباش [FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_][WOMAN_],1,1,0,1,0,1
101,[FACE_WITH_TEARS_OF_][FACE_WITH_TEARS_OF_]  من موندم بارون بند بیاد با همسرم برم اکواریوم,1,1,2,1,2,1
102,همسر من رو زمینم بریزه جمع میکنه وادامه میده  [SMILING_],1,1,2,1,2,1
103,اکس بنده نزدیک   تا گل افتابگردون فرستاده بدون نام و نشون. منم اولش زنگ زدم دوست پسرم که تو فرستادی؟ قشنگ یک دوست دختر تاکسیکم بدون اینکه بخوام [WOMAN_FACEPALMING_MEDIUM_LIGHT_SKIN_] بهم بزنه باهام حق داره عکس صرفا برای فهمیدن عمق فاجعه میباشد,1,1,1,1,1,1
104,طوری که دوست پسرم توصیفم میکنه,1,1,2,1,2,1
105,من کاملا با شما موافقم، نگفتم که همسرم کمک نمی کنه زمانی هایی که در خانه هست کمک می کنم. اتفاقا باید فرهنگ سازی بشه کار خونه صرفا زنانه نیست.,1,1,0,1,0,1
106,ینی عاشق اون وقتایی ام که دارم بی وقفه غر میزنم و اون چهار پنج بار میگه عشقم ، عشقم ، عشقم یهو به خودم میام ،خر میشم و دهنم بسته میشه… [PLEADING_] ,1,1,0,1,0,1
107,مادر شوهرمنم گاهی یه سوالایی میپرسه ،مثلا زن داییت چقدر حقوق میگیره؟من چه بدونم اخه زن,1,1,2,1,2,1
108,اکسم زنگ زد به دوست دخترم گفت میخوای بچه علیرضا رو ببینی؟ بعد دو سال کات با یه بچه( بچه فک و فامیلشون بود) رفت پیش دوست دخترم گفت این بچمونه حامله شدم منو ول کرد.,1,1,2,1,2,1
109,امشب با همسر سر دسته ی ایکس باکس دعوامون شد همش دسته ی منو برمیداره تازه من پشتش لاک زدم قاطی نشه [SMILING_FACE_WITH_],1,1,1,1,1,1
110,تو کلاس دوره تکمیلی   نفریم دوتا پسر  تا دختر که همگی سن   تا   هستیم بجز من دوتا اهل ترکیه مابقی المانی و دو تا خانم هم یونانی.همگی یک یا  تا بچه دارن خانم یونانی با پسری مراکشی ازدواج کرد و مسلمون شد بین   نفر من و این خانم متاهلیم بقیه طلاق گرفتن یا رفیقش با بچه ولش کرده,1,1,2,1,2,1
111,ما پارتنرامون اینجوری باشن احتمالش به همسر شدن  درصده [ROLLING_ON_THE_FLOOR_] دوست و رفیق چیه,1,1,1,1,1,1
112,اِکس و نکست و دوست پسرم اوریتدن حتا شوهر همه از دم اورریتد!,1,1,1,1,1,1
113,دراماها ، روابط توییتری و بدجنس بازیای بعضیا رو که میبینم خدارو صد هزار مرتبه شکر میکنم دوست پسرم توییتر نداره,1,1,0,1,0,1
114,: نمیدونم خانمم چرا با من سرد شده و سکس نمیکنه مطمینم با کس دیگه هم نیست.,1,1,1,1,1,1
115,نه خونه داشتم،نه اجازه دادم بابام لوازم غیرضروری واسم بخره، وضعیت مالی پدرم متوسط بود اما خونه پدریم بزرگ بوداز اونجا رفتم خونه سازمانی   متری. حتی تو خونه خریدن همسر سابق کمک نکرد و مخالفت بود.از پدرم قرض کردم که پسش دادم.خونه رو رهن دادم. ماشین رو فروختم با وام مسکن.,0,1,1,1,1,1
116,بدبخت زن من باس بیسچاری غذا درست کنه,1,1,1,1,1,1
117,من برای اینکه پارتنر خوبی باشم باید خیانت کنم.,1,1,1,1,1,1
118,خیلی قشنگه که! من از وقتی زنم این حرکت رو زده، به نظرم جذاب تر شده… اصن یه وضعی! به نظرم خواهرتو از وسط نصف کن!,1,1,0,1,0,1
119,نه اتفاقا من موقع شدن نمیلرزم بجاش پارتنرم بندری میره,1,1,0,1,0,1
120,از صبح امده ام دفتر برای برنامه ریزی. پسر و دخترم هم همراهم هستند. ناهارِ دلخواهشان را سفارش دادیم و خوردیم. ساعت   شب شده! دیگر برویم خانه که یک فیلم خوب هم با همسر جان ببینم. باید برای فردا که روز پیچیده ای است، اماده شوم.,1,1,0,1,0,1
121,بعد من   ساعت و نیم سکس میکنم راند که تموم میشه به پارتنرم میگم یه راند دیگه بریم!,1,1,0,1,0,1
122,همسرم کجا بودی ک ببینی چقدر شوهرتو اذیت کردن [PLEADING_][FACE_WITH_TEARS_OF_],1,1,1,1,1,1
123,هه من شوهررر دارم شما ندارییین خاک برسرتووون,1,1,0,1,0,1
124,:))))))))))))))) دیروز به زیدم عیدی دادم گفتم واسه کسکلک یه توییت شبیه همینو بزنه. سوخت توییتش. :))))))))))))))))))),1,1,0,1,0,1
125,خدایش نمونه بارز شوهر و دوست پسر و همه چی تمومه [][SMILING_FACE_WITH_HEART_][SNEEZING_][FACE_WITH_TEARS_OF_],1,1,0,1,0,1
126,ساحل اسخیفنینگن داره دنهاخ. پارتنر اونجا پرید .,1,1,2,1,2,1
127,واقعا هوای یه گاز به سینه مرغ بزنی یه گاز به سینه  زنت یه.,1,1,0,1,0,1
128,من اشپزی بلدم دست پختم هم عالیه  [BEAMING_FACE_WITH_SMILING_] خوشا ب حال پارتنرم [BEAMING_FACE_WITH_SMILING_],1,1,0,1,0,1
129,مادر شوهر مثل من  / دنیا اومده مبارک باشه [COWBOY_HAT_][SMILING_FACE_WITH_OPEN_],1,1,2,1,2,1
130,فرزند دوم  .  به دنیا اومد تاریخ تولدش با همسرم یکی بود و دخترم  .  با خودم یکی جفتشون هم طبیعی به دنیا اومدن,1,1,0,1,0,1
131,یه سایه قرمز اکلیلی زده بودم همکارم گفت حتما شوهرت خیلی ذوقتو میکنه! گفتم ن بابا هر بار میام سر کار میگه مگه داری میری عروسی و اخماش تو همه! [ROLLING_ON_THE_FLOOR_],1,1,1,1,1,1
132,امسال عید شدیم خانواده گسسته، من و دخترم تهران ، همسر و پسرم شمال، خدا تا اخر سال رو ختم به خیر کنه صلوات [GRINNING_FACE_WITH_SMILING_] ,1,1,1,1,1,1
